timestamp,interval,data,direction,jitter
1755183554.909909,0.00997304916381836,00DC050000,T,1.9073486328125e-05
1755183554.919892,0.009983062744140625,00DC050000,T,1.0013580322265625e-05
1755183554.929932,0.010040044784545898,00DC050000,T,5.698204040527344e-05
1755183554.939854,0.009921789169311523,00DC050000,T,0.000118255615234375
1755183554.949854,0.009999990463256836,00DC050000,T,7.82012939453125e-05
1755183554.959936,0.010082006454467773,00DC050000,T,8.20159912109375e-05
1755183554.969926,0.009990215301513672,00DC050000,T,9.179115295410156e-05
1755183554.979976,0.010049819946289062,00DC050000,T,5.9604644775390625e-05
1755183554.989922,0.009946107864379883,00DC050000,T,0.00010371208190917969
1755183554.999832,0.009909868240356445,00DC050000,T,3.62396240234375e-05
1755183555.01009,0.010258197784423828,00DC050000,T,0.0003483295440673828
1755183555.019895,0.009804964065551758,00DC050000,T,0.0004532337188720703
1755183555.029867,0.009971857070922852,00DC050000,T,0.00016689300537109375
1755183555.039877,0.010010004043579102,00DC050000,T,3.814697265625e-05
1755183555.049855,0.009978055953979492,00DC050000,T,3.1948089599609375e-05
1755183555.059895,0.010040044784545898,00DC050000,T,6.198883056640625e-05
1755183555.069881,0.009985923767089844,00DC050000,T,5.412101745605469e-05
1755183555.079863,0.009982109069824219,00DC050000,T,3.814697265625e-06
1755183555.089858,0.009994983673095703,00DC050000,T,1.2874603271484375e-05
1755183555.099914,0.010056018829345703,00DC050000,T,6.103515625e-05
1755183555.109903,0.009989023208618164,00DC050000,T,6.699562072753906e-05
1755183555.119935,0.010031938552856445,00DC050000,T,4.291534423828125e-05
1755183555.129854,0.009918928146362305,00DC050000,T,0.00011301040649414062
1755183555.13987,0.01001596450805664,00DC050000,T,9.703636169433594e-05
1755183555.149849,0.009979009628295898,00DC050000,T,3.695487976074219e-05
1755183555.159849,0.009999990463256836,00DC050000,T,2.09808349609375e-05
1755183555.169866,0.010017156600952148,00DC050000,T,1.71661376953125e-05
1755183555.179894,0.010027885437011719,00DC050000,T,1.0728836059570312e-05
1755183555.189891,0.009997129440307617,00DC050000,T,3.075599670410156e-05
1755183555.199881,0.00998997688293457,00DC050000,T,7.152557373046875e-06
1755183555.209807,0.00992584228515625,00DC050000,T,6.413459777832031e-05
1755183555.219922,0.01011514663696289,00DC050000,T,0.00018930435180664062
1755183555.229887,0.009964942932128906,00DC050000,T,0.00015020370483398438
1755183555.239875,0.009988069534301758,00DC050000,T,2.3126602172851562e-05
1755183555.249796,0.009920835494995117,00DC050000,T,6.723403930664062e-05
1755183555.259967,0.010171175003051758,00DC050000,T,0.0002503395080566406
1755183555.269869,0.009902000427246094,00DC050000,T,0.00026917457580566406
1755183555.279893,0.010023832321166992,00DC050000,T,0.00012183189392089844
1755183555.289847,0.009953975677490234,00DC050000,T,6.985664367675781e-05
1755183555.29981,0.009963035583496094,00DC050000,T,9.059906005859375e-06
1755183555.309855,0.010045051574707031,00DC050000,T,8.20159912109375e-05
1755183555.319886,0.010030984878540039,00DC050000,T,1.4066696166992188e-05
1755183555.330149,0.01026296615600586,00DC050000,T,0.0002319812774658203
1755183555.339885,0.009736061096191406,00DC050000,T,0.0005269050598144531
1755183555.3499,0.010015010833740234,00DC050000,T,0.0002789497375488281
